sku,name,base_image,small_image,thumbnail_image,additional_images,store_view_code,attribute_set_code,product_type,categories,product_websites,description,tax_class_name,visibility,price,url_key,meta_title,qty
HP Envy 13 X360,HP Envy 13 X360,hp-envy-13-2-in-1-2021.jpg,hp-envy-13-2-in-1-2021.jpg,hp-envy-13-2-in-1-2021.jpg,hp-envy-13-2-in-1-2021.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP Envy 13 X360,Taxable Goods,"Catalog, Search",1002.38,hp-envy-13-2-in-1-2021.,HP Envy 13 X360,26
Lenovo IdeaPad 5 15 (Chính hãng - Intel gen 11),Lenovo IdeaPad 5 15 (Chính hãng - Intel gen 11),ideapad-5-15itl05-ct2-01-82fg00m5vn-xanh-thinkpro.jpg,ideapad-5-15itl05-ct2-01-82fg00m5vn-xanh-thinkpro.jpg,ideapad-5-15itl05-ct2-01-82fg00m5vn-xanh-thinkpro.jpg,ideapad-5-15itl05-ct2-01-82fg00m5vn-xanh-thinkpro.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo IdeaPad 5 15 (Chính hãng - Intel gen 11),Taxable Goods,"Catalog, Search",849.77,ideapad-5-15itl05-ct2-01-82fg00m5vn-xanh-thinkpro.,Lenovo IdeaPad 5 15 (Chính hãng - Intel gen 11),29
Dell Vostro 13 5301,Dell Vostro 13 5301,V5301_00.jpg,V5301_00.jpg,V5301_00.jpg,V5301_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Vostro 13 5301,Taxable Goods,"Catalog, Search",845.41,V5301_00.,Dell Vostro 13 5301,47
Asus Vivobook S14 S433 (Intel Gen 11),Asus Vivobook S14 S433 (Intel Gen 11),s433bla_00.jpg,s433bla_00.jpg,s433bla_00.jpg,s433bla_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,Asus Vivobook S14 S433 (Intel Gen 11),Taxable Goods,"Catalog, Search",814.89,s433bla_00.,Asus Vivobook S14 S433 (Intel Gen 11),26
MSI GP76 Leopard (Intel Gen 11),MSI GP76 Leopard (Intel Gen 11),gp76-0-11th.jpg,gp76-0-11th.jpg,gp76-0-11th.jpg,gp76-0-11th.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI GP76 Leopard (Intel Gen 11),Taxable Goods,"Catalog, Search",2310.39,gp76-0-11th.,MSI GP76 Leopard (Intel Gen 11),35
Acer Predator Helios 300 2021,Acer Predator Helios 300 2021,helios-300-thinkpro-1.jpg,helios-300-thinkpro-1.jpg,helios-300-thinkpro-1.jpg,helios-300-thinkpro-1.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Acer",base,Acer Predator Helios 300 2021,Taxable Goods,"Catalog, Search",1481.98,helios-300-thinkpro-1.,Acer Predator Helios 300 2021,47
HP Victus Gaming 16 (Chính hãng),HP Victus Gaming 16 (Chính hãng),21c1-victus-calhoun-16-60w-lcd-micasilver-nt-hdcam-nonodd-win-10-coreset-front-thinkpro-1.jpg,21c1-victus-calhoun-16-60w-lcd-micasilver-nt-hdcam-nonodd-win-10-coreset-front-thinkpro-1.jpg,21c1-victus-calhoun-16-60w-lcd-micasilver-nt-hdcam-nonodd-win-10-coreset-front-thinkpro-1.jpg,21c1-victus-calhoun-16-60w-lcd-micasilver-nt-hdcam-nonodd-win-10-coreset-front-thinkpro-1.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP Victus Gaming 16 (Chính hãng),Taxable Goods,"Catalog, Search",1002.38,21c1-victus-calhoun-16-60w-lcd-micasilver-nt-hdcam-nonodd-win-10-coreset-front-thinkpro-1.,HP Victus Gaming 16 (Chính hãng),47
Lenovo IdeaPad 5 14 (Chính hãng - Intel Gen 11),Lenovo IdeaPad 5 14 (Chính hãng - Intel Gen 11),ideapad514_platgr_00.jpg,ideapad514_platgr_00.jpg,ideapad514_platgr_00.jpg,ideapad514_platgr_00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo IdeaPad 5 14 (Chính hãng - Intel Gen 11),Taxable Goods,"Catalog, Search",858.49,ideapad514_platgr_00.,Lenovo IdeaPad 5 14 (Chính hãng - Intel Gen 11),20
Dell Latitude 5410,Dell Latitude 5410,dell-latitude-5410.jpg,dell-latitude-5410.jpg,dell-latitude-5410.jpg,dell-latitude-5410.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Dell",base,Dell Latitude 5410,Taxable Goods,"Catalog, Search",740.77,dell-latitude-5410.,Dell Latitude 5410,32
ASUS Vivobook 15 M513 OLED,ASUS Vivobook 15 M513 OLED,asus-vivobook-m513-l1221t-oled-thinkpro.jpg,asus-vivobook-m513-l1221t-oled-thinkpro.jpg,asus-vivobook-m513-l1221t-oled-thinkpro.jpg,asus-vivobook-m513-l1221t-oled-thinkpro.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Asus",base,ASUS Vivobook 15 M513 OLED,Taxable Goods,"Catalog, Search",819.25,asus-vivobook-m513-l1221t-oled-thinkpro.,ASUS Vivobook 15 M513 OLED,20
MSI GE66 Raider (Intel Gen 11),MSI GE66 Raider (Intel Gen 11),ge66-0.jpg,ge66-0.jpg,ge66-0.jpg,ge66-0.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/MSI",base,MSI GE66 Raider (Intel Gen 11),Taxable Goods,"Catalog, Search",2615.6,ge66-0.,MSI GE66 Raider (Intel Gen 11),26
HP Spectre 13 X360 2020,HP Spectre 13 X360 2020,spectrex36020sil-00.jpg,spectrex36020sil-00.jpg,spectrex36020sil-00.jpg,spectrex36020sil-00.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/HP",base,HP Spectre 13 X360 2020,Taxable Goods,"Catalog, Search",1089.58,spectrex36020sil-00.,HP Spectre 13 X360 2020,32
Lenovo ThinkPad T490s,Lenovo ThinkPad T490s,lenovo-thinkpad-t490s.jpg,lenovo-thinkpad-t490s.jpg,lenovo-thinkpad-t490s.jpg,lenovo-thinkpad-t490s.jpg,,Default,simple,"Root,Root/Laptop,Root/Laptop/Lenovo",base,Lenovo ThinkPad T490s,Taxable Goods,"Catalog, Search",915.18,lenovo-thinkpad-t490s.,Lenovo ThinkPad T490s,44
